Start training VAE...
	Epoch 1 complete! 	Average Loss:  135.67269539401607
	Epoch 2 complete! 	Average Loss:  99.70840580655259
Finish!!
         10377872 function calls (10233797 primitive calls) in 39.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 Image.py:3164(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3175(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3187(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3198(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3321(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3357(Exif)
        3    0.000    0.000    0.015    0.005 Image.py:341(preinit)
        3    0.000    0.000    0.000    0.000 Image.py:413(_getdecoder)
   120103    0.385    0.000    0.573    0.000 Image.py:436(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:467(_E)
        1    0.000    0.000    0.000    0.000 Image.py:508(Image)
   360306    0.314    0.000    0.314    0.000 Image.py:524(__init__)
   240200    0.148    0.000    0.148    0.000 Image.py:537(__getattr__)
   600512    0.109    0.000    0.109    0.000 Image.py:556(size)
   240203    0.433    0.000    0.670    0.000 Image.py:560(_new)
        3    0.000    0.000    0.000    0.000 Image.py:622(_ensure_mutable)
   120100    0.603    0.000    5.175    0.000 Image.py:684(__array__)
   120100    0.088    0.000    0.088    0.000 Image.py:700(ArrayData)
   120100    0.622    0.000    2.025    0.000 Image.py:720(tobytes)
        3    0.000    0.000    0.000    0.000 Image.py:788(frombytes)
   120106    0.140    0.000    0.200    0.000 Image.py:814(load)
        1    0.000    0.000    0.000    0.000 Image.py:96(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.007    0.007 ImageDraw.py:33(<module>)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:46(ImageDraw)
        1    0.000    0.000    0.002    0.002 ImageEnhance.py:21(<module>)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:24(_Enhance)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:39(Color)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:57(Contrast)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:74(Brightness)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:90(Sharpness)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:313(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:339(Parser)
        3    0.000    0.000    0.035    0.012 ImageFile.py:478(_save)
        1    0.000    0.000    0.000    0.000 ImageFile.py:576(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:587(PyDecoder)
        3    0.000    0.000    0.000    0.000 ImageFile.py:79(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:103(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:118(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:133(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:151(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:168(BoxBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:189(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:20(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:215(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:228(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:239(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:24(MultibandFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:250(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:261(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:272(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:28(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:283(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:294(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:305(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:316(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:329(Color3DLUT)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:35(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:64(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:88(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageFont.py:157(FreeTypeFont)
        1    0.000    0.000    0.005    0.005 ImageFont.py:28(<module>)
        1    0.000    0.000    0.000    0.000 ImageFont.py:41(_imagingft_not_installed)
        1    0.000    0.000    0.000    0.000 ImageFont.py:69(ImageFont)
        1    0.000    0.000    0.000    0.000 ImageFont.py:755(TransposedFont)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
       24    0.000    0.000    0.000    0.000 ImageMode.py:23(__init__)
   120100    0.057    0.000    0.057    0.000 ImageMode.py:33(getmode)
        1    0.000    0.000    0.000    0.000 ImageOps.py:20(<module>)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 ImageStat.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ImageStat.py:29(Stat)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:340(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
       10    0.000    0.000    0.001    0.000 PngImagePlugin.py:1025(putchunk)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1036(_idat)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:1039(__init__)
        4    0.000    0.000    0.001    0.000 PngImagePlugin.py:1043(write)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1047(_fdat)
        3    0.000    0.000    0.035    0.012 PngImagePlugin.py:1191(_save)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:137(_crc32)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:47(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1019(TiffImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:132(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1768(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:291(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:376(_delegate)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:418(ImageFileDirectory_v2)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:650(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:651(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:661(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:662(decorator)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:668(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:920(ImageFileDirectory_v1)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
        1    0.000    0.000    0.000    0.000 _VF.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _VF.py:18(VFModule)
        1    0.000    0.000    0.000    0.000 _VF.py:21(__init__)
       12    0.000    0.000    0.000    0.000 _VF.py:25(__getattr__)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __future__.py:18(get_overwrite_module_params_on_conversion)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      102    0.005    0.000    3.257    0.032 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:105(PEP440Warning)
        9    0.000    0.000    0.009    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1115(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:119(CudnnModule)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:120(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:122(_declare_state)
        3    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:124(script_if_tracing)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        5    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:13(cuFFTPlanCacheAttrContextProp)
      362    0.000    0.000    0.003    0.000 __init__.py:1304(safe_name)
      408    0.001    0.000    0.017    0.000 __init__.py:1312(safe_version)
        5    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
      269    0.000    0.000    0.007    0.000 __init__.py:1393(_get_metadata_path)
      219    0.000    0.000    0.019    0.000 __init__.py:1396(has_metadata)
       50    0.000    0.000    0.009    0.000 __init__.py:1403(get_metadata)
        6    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.025    0.025 __init__.py:141(_load_global_deps)
       50    0.000    0.000    0.010    0.000 __init__.py:1416(get_metadata_lines)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        2    0.000    0.000    0.000    0.000 __init__.py:146(is_initialized)
      269    0.001    0.000    0.007    0.000 __init__.py:1472(_fn)
      269    0.001    0.000    0.004    0.000 __init__.py:1478(_validate_resource_path)
        1    0.000    0.000    0.007    0.007 __init__.py:15(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:151(_lazy_call)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1595(DefaultProvider)
      219    0.000    0.000    0.012    0.000 __init__.py:1598(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:16(Quantize)
        1    0.000    0.000    0.000    0.000 __init__.py:16(_PyFutureMeta)
        2    0.000    0.000    0.000    0.000 __init__.py:16(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
       50    0.000    0.000    0.007    0.000 __init__.py:1610(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1614(_register)
        1    0.000    0.000    0.002    0.002 __init__.py:162(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(ZipProvider)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:17(is_available)
        1    0.000    0.000    0.000    0.000 __init__.py:171(DeferredCudaCallError)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(FileMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1880(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1886(has_metadata)
        4    0.000    0.000    0.001    0.000 __init__.py:1889(get_metadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1898(_warn_on_replacement)
        1    0.000    0.000    0.000    0.000 __init__.py:19(ExportTypes)
        1    0.000    0.000    0.000    0.000 __init__.py:19(Future)
        4    0.000    0.000    0.001    0.000 __init__.py:1905(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1909(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
      358    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1952(register_finder)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
       24    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
        2    0.000    0.000    0.000    0.000 __init__.py:1999(find_nothing)
        8    0.207    0.026    1.780    0.222 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
       22    0.000    0.000    0.094    0.004 __init__.py:2006(_by_version_descending)
      362    0.001    0.000    0.048    0.000 __init__.py:2021(_by_version)
      362    0.001    0.000    0.045    0.000 __init__.py:2027(<listcomp>)
      384    0.001    0.000    0.232    0.001 __init__.py:2032(find_on_path)
        5    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
     1688    0.001    0.000    0.013    0.000 __init__.py:2044(<genexpr>)
      384    0.002    0.000    0.037    0.000 __init__.py:2052(<genexpr>)
     2028    0.003    0.000    0.045    0.000 __init__.py:2067(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2087(NoDists)
     1304    0.000    0.000    0.000    0.000 __init__.py:2095(__bool__)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
       22    0.000    0.000    0.004    0.000 __init__.py:2102(safe_listdir)
      724    0.003    0.000    0.104    0.000 __init__.py:2118(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:2167(register_namespace_handler)
        6    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
      227    0.001    0.000    0.109    0.000 __init__.py:2185(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        7    0.000    0.000    0.006    0.001 __init__.py:2254(declare_namespace)
        6    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
